mrna_id,Pfs1,Pfs10,Pfs11,Pfs12,Pfs13,Pfs14,Pfs15,Pfs16,Pfs2,Pfs3,Pfs4,Pfs5,Pfs6,Pfs7,Pfs8,Pfs9
1e94468f-8c3e-4137-a957-92ddbbf3a0f3,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
1f1d1aa0-16b5-49c2-8050-6bbacffae1cf,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
1ffbb278-649c-40b7-b5d9-f56474dd555c,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0
20572100-894a-45eb-a4c2-59afd2798c28,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
22d810b7-43fe-4ac0-9266-27a421b797e0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
2328fbc8-8c85-4e7b-a11a-1f2fc1875ea3,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0
23790464-866a-4a16-9fb8-6bc9c868c157,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24420678-e7a8-4e0c-bfae-c3b5008ece39,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1
2524ceab-e2aa-4dcb-9e28-abb24ed1d551,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
26156ed3-ca75-4517-9115-6ed37521cff7,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1
265fc564-b369-4d07-b11d-ebf07c61f8e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27b7e0c4-a1e6-46ec-bc8f-844161c1d6ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27ce960c-6ca0-4022-8e5e-cc9c43baaa9f,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
28ccca7b-8fdd-47d4-9657-d0477940d46f,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1
28e942b0-e39c-450f-b021-71b03f445fe7,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0
290ca234-3d9f-4ff6-a4fa-b25172abc593,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0
2939d487-43ec-47af-a317-cfeafca4871a,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
294263fd-151f-4e57-84a7-2a3b3d748c9b,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
298212b7-071e-40b2-bf86-98f68246f6ca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2999a284-6399-4a0b-9a9f-dc52346bf448,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0
29be4352-e884-4b75-910c-0113194bd821,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
2b93c237-fe8d-4d35-bfba-bcdb5a18cb06,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1
2caf3ee6-b488-4630-b575-a8218c498f63,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
2cf0e9e0-b00b-4736-9a3a-24d2c8b956ed,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2dd8ce74-dce9-4df7-aa26-5dd75c2eb042,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
2e57db0b-70cb-4b5b-a9ac-8a9e7582c590,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
302916af-7774-44bf-8fe1-a957645f7f33,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
307cf040-915b-4e14-871f-408ee40195c0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0
316bf54a-8bd2-48e4-ace4-e1baa47447bb,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
319ea6d0-221d-4bfd-881a-74c9088cd756,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0
